id,imdb_id,status,adult,video,title,original_title,original_language,overview,tagline,keywords,watch_providers,genres,production_companies,production_countries,spoken_languages,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,belongs_to_collection,overview_en
140420,tt2388725,Released,False,False,O Avião de Papel,Paperman,en,"Nova York, Estados Unidos. Ao ir para o trabalho, um homem se interessa por uma jovem que vê na estação de trem. Entretanto, não consegue falar com ela. Ao chegar ao escritório, ele a vê no prédio ao lado. Sem conseguir chamar sua atenção, ele passa a fazer aviões de papel com o material do trabalho e tenta acertá-los bem na janela do escritório em que ela está, em uma tentativa desesperada para que ela possa, enfim, notá-lo.","Delicada, charmosa e doce.","skyscraper, black and white, paper airplane, office romance, short film",Disney Plus,"Animação, Família, Romance, Comédia, Fantasia","Walt Disney Pictures, Walt Disney Animation Studios",United States of America,English,0,0,7,3.8564,7.992,1784,2012-11-02,,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.
8422,tt0054248,Released,False,False,Rocco e Seus Irmãos,Rocco e i suoi fratelli,it,"A história da Família Parondi, através da matriarca Rosaria e seus filhos Rocco, Simone, Ciro e Luca. Depois da morte do marido, eles saem de sua cidadezinha e vão tentar a sorte em Milão. Lá, a família de imigrantes vai sofrer grandes golpes. Rocco e Simone tentam a sorte no boxe e se apaixonam pela mesma mulher, a prostituta Nadia.",,"work, prostitute, sibling relationship, parent child relationship, widow, milan, boxer, love, murder, working class, illegal prostitution, matriarch",,"Drama, Romance","Titanus, Les Films Marceau","France, Italy",Italiano,0,0,179,6.0793,8.0,648,1960-10-07,,"When a impoverished widow’s family moves to the big city, two of her five sons become romantic rivals with deadly results."
515001,tt2584384,Released,False,False,Jojo Rabbit,Jojo Rabbit,en,"Jojo é um garoto alemão solitário que descobre que sua mãe está escondendo uma garota judia no sótão. Ajudado apenas por seu amigo imaginário, Adolf Hitler, Jojo deve enfrentar seu nacionalismo cego enquanto a Segunda Guerra Mundial prossegue.",Uma sátira anti-ódio.,"based on novel or book, world war ii, jew persecution, satire, imaginary friend, hitler youth, single mother, questioning, nazism, 1940s, satirical, child protagonist, adolf hitler, children in wartime, suspicious, irreverent, nazi germany, doubtful, ridiculous",Disney Plus,"Comédia, Guerra, Drama","Fox Searchlight Pictures, Defender Films, Piki Films, TSG Entertainment","New Zealand, United States of America","English, Deutsch",14000000,82468705,108,7.1221,7.991,10255,2019-10-18,,"Jojo, a lonely German boy during World War II has his world shaken when he learns that his single mother is hiding a Jewish girl in their home. Influenced by a buffoonish imaginary version of Adolf Hitler, he begins to question his beliefs and confront the conflict between propaganda and his own humanity."
524,tt0112641,Released,False,False,Cassino,Casino,en,"No início dos anos 70, em Las Vegas, Sam ""Ace"" Rothstein é escolhido pelos seus chefes para dirigir o Cassino Tangiers. No início, ele é um grande sucesso no cargo, mas com o passar dos anos, problemas com o seu executor Nicky Santoro, a sua ex-mulher Ginger, o seu ex-vigarista Lester Diamond e um punhado de políticos corruptos colocam Sam em perigo cada vez maior.",Ninguém fica no topo pra sempre.,"drug abuse, casino, based on novel or book, poker, italian american, gambling, 1970s, fbi, pimp, greed, cocaine, overdose, marriage, car bomb, rise and fall, money, murder, organized crime, mafia, jewish american, las vegas, desert, safe deposit box, 1980s, dramatic, suspenseful, brutal violence, fbi surveillance","Amazon Prime Video, Globoplay, Amazon Prime Video with Ads","Crime, Drama","Universal Pictures, Syalis DA, Légende Films, Cappa/De Fina Productions","France, United States of America",English,50000000,116112375,179,8.3889,7.991,6420,1995-11-22,,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
3175,tt0072684,Released,False,False,Barry Lyndon,Barry Lyndon,en,Um trapaceiro irlandês conquista o coração de uma viúva rica e assume a posição aristocrárica do seu falecido marido na Inglaterra do século 18.,Finalmente Redmond Barry tornou-se um cavalheiro... e essa foi sua tragédia.,"based on novel or book, gambling, desertion, fencing, palace, british army, opportunist, wealth, debt, duel, ireland, british soldier, 18th century, card playing, pistol duel, seven years war, nobility, prussia, cautionary, audacious",,"Drama, Romance, Guerra, História","Warner Bros. Pictures, Hawk Films, Peregrine","United Kingdom, United States of America","Deutsch, Français, English",11000000,31500000,185,6.0942,8.0,3115,1975-12-18,,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon."
785534,tt13045890,Released,False,False,Filhos de Istambul,Kağıttan Hayatlar,tr,"Nas ruas de Istambul, Mehmet, um catador de papel, decide ajudar um garoto e acaba tendo que confrontar os traumas da própria infância.",,,"Netflix, Netflix Standard with Ads",Drama,"OGM Pictures, OG Medya",Turkey,Türkçe,0,0,96,1.2916,7.989,407,2021-03-12,,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood."
678580,tt10886670,Released,False,False,El mesero,El mesero,es,,,,"Netflix, Netflix Standard with Ads",Comédia,,Mexico,Español,0,0,86,0.8209,7.989,356,2021-07-15,,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.
19426,tt0050783,Released,False,False,Noites de Cabíria,Le notti di Cabiria,it,"Cabiria é uma prostituta baixinha e elétrica que vaga pelas ruas de Roma procurando o verdadeiro amor. Após ter tentado tudo, inclusive ajuda divina, ela acha seu pretendente dos sonhos no local e hora mais inapropriados. Mas, seria ele tão perfeito assim?","A história de uma pequena prostituta romana traída, mas indomável.","rome, italy, optimism, house, poverty, prostitution, heartbreak, rescue from drowning, ostia italy, shrine, hypnotist, railway station, starving, accountant",Looke,Drama,"DDL Cinematografica, Les Films Marceau","Italy, France",Italiano,0,752045,118,5.1317,8.0,848,1957-10-03,,"Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem."
698687,tt8864596,Released,False,False,Transformers: O Início,Transformers One,en,Veja a história não contada da origem de Orion Pax (o jovem Optimus Prime) e D-16 (o jovem Megatron) e descubra como estes dois companheiros de luta se tornaram inimigos mortais e mudaram para sempre o destino de Cybertron.,Descubra a origem por trás da rivalidade.,"based on toy, giant robot, aftercreditsstinger, duringcreditsstinger, buddy movie, brothers-in-arms relationship, origin story, alien robot","Netflix, Netflix Standard with Ads","Animação, Ficção científica, Aventura, Família","Paramount Animation, di Bonaventura Pictures, DeSanto/Murphy Productions, Bay Films, New Republic Pictures, Hasbro Entertainment",United States of America,English,75000000,129408392,104,9.9983,8.0,1529,2024-09-11,,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever."
530915,tt8579674,Released,False,False,1917,1917,en,"Os cabos Schofield e Blake são jovens soldados britânicos durante a Primeira Guerra Mundial. Quando eles são encarregados de uma missão aparentemente impossível, os dois precisam atravessar território inimigo, lutando contra o tempo, para entregar uma mensagem que pode salvar cerca de 1600 colegas de batalhão.",O tempo é o maior inimigo.,"race against time, world war i, british army, soldier, real time, trenches, 1910s, trench warfare, no man's land, intense, horrified","Amazon Prime Video, Globoplay","Guerra, História","DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films","United States of America, United Kingdom, Spain, India","English, Français, Deutsch",100000000,446064352,119,7.453,7.987,13354,2019-12-25,,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers."
205596,tt2084970,Released,False,False,O Jogo da Imitação,The Imitation Game,en,"Em 1939, a recém-criada agência de inteligência britânica MI6 recruta Alan Turing, um aluno da Universidade de Cambridge, para entender códigos nazistas, incluindo o ""Enigma"", que criptógrafos acreditavam ser inquebrável. A equipe de Turing, incluindo Joan Clarke, analisa as mensagens de ""Enigma"", enquanto ele constrói uma máquina para decifrá-las.",O verdadeiro enigma estava no homem que desvendou o código.,"england, homophobia, world war ii, mathematician, genius, biography, based on true story, male homosexuality, code breaking, lgbt, logician, cryptography, somber, math genius, gay theme, codes, suspenseful, tragic, segunda guerra mundial, criptografia","HBO Max, HBO Max Amazon Channel, Diamond Films Amazon Channel","História, Drama, Thriller, Guerra","Bristol Automotive, Black Bear Pictures, FilmNation Entertainment","United States of America, United Kingdom",English,14000000,233555708,113,10.6637,7.987,17884,2014-11-14,,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II."
